latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
27.01672,49.5863,319.35,1.56,1.23,2025-08-01,7,Aqua,MODIS,98,6.1NRT,303.58,19.71,N
22.70622,39.04593,307.35,1.54,1.22,2025-08-01,7,Aqua,MODIS,69,6.1NRT,297.23,7.96,N
24.05064,49.19553,303.58,1.68,1.27,2025-08-01,7,Aqua,MODIS,53,6.1NRT,290.45,6.52,N
22.70795,39.03131,313.38,1.55,1.23,2025-08-01,7,Aqua,MODIS,86,6.1NRT,297.69,15.92,N
24.0477,49.21138,307.15,1.68,1.28,2025-08-01,7,Aqua,MODIS,69,6.1NRT,290.45,11.49,N
27.03522,49.60626,318.53,1.56,1.23,2025-08-01,7,Aqua,MODIS,97,6.1NRT,303.86,17.32,N
27.02501,49.58136,323.99,1.56,1.23,2025-08-01,7,Aqua,MODIS,100,6.1NRT,303.68,28.7,N
-3.02867,34.52652,306.41,1.34,1.15,2025-08-01,13,Aqua,MODIS,68,6.1NRT,286.99,13.08,N
-1.95593,34.6896,320.01,1.36,1.15,2025-08-01,13,Aqua,MODIS,100,6.1NRT,283.82,30.73,N
-1.95772,34.70133,333.52,1.35,1.15,2025-08-01,13,Aqua,MODIS,100,6.1NRT,284.99,55.64,N
-1.96778,34.69963,308.84,1.35,1.15,2025-08-01,13,Aqua,MODIS,76,6.1NRT,282.26,17.75,N
-2.04825,35.09707,302.73,1.27,1.12,2025-08-01,13,Aqua,MODIS,51,6.1NRT,285.99,9.64,N
-1.39648,29.15974,305.84,3.8,1.82,2025-08-01,13,Aqua,MODIS,66,6.1NRT,281.54,65.89,N
-1.40271,29.20015,384.66,3.78,1.82,2025-08-01,13,Aqua,MODIS,100,6.1NRT,291.78,1207.62,N
-1.40699,29.22788,345.64,3.75,1.81,2025-08-01,13,Aqua,MODIS,100,6.1NRT,284.34,378.79,N
-1.41534,29.22123,351.26,3.75,1.81,2025-08-01,13,Aqua,MODIS,100,6.1NRT,287.08,456.46,N
-3.03048,34.53822,315.59,1.34,1.15,2025-08-01,13,Aqua,MODIS,92,6.1NRT,287.37,23.72,N
-2.524,34.57932,304.79,1.35,1.15,2025-08-01,13,Aqua,MODIS,52,6.1NRT,286.15,11.5,N
-3.03228,34.54992,301.55,1.34,1.15,2025-08-01,13,Aqua,MODIS,38,6.1NRT,286.62,8.62,N
-2.45704,34.61356,300.17,1.35,1.15,2025-08-01,13,Aqua,MODIS,18,6.1NRT,286.93,7.55,N
-2.52221,34.56753,314.1,1.36,1.15,2025-08-01,13,Aqua,MODIS,89,6.1NRT,286.95,21.76,N
-1.41042,29.19065,355.63,3.78,1.82,2025-08-01,13,Aqua,MODIS,100,6.1NRT,286.07,531.71,N
-5.06581,27.39721,302.44,4.47,1.94,2025-08-01,16,Aqua,MODIS,49,6.1NRT,289.44,52.55,N
-11.92865,37.71692,331.15,1.08,1.04,2025-08-01,18,Aqua,MODIS,100,6.1NRT,291.71,34.07,N
-10.31516,26.59497,301.7,4.08,1.87,2025-08-01,18,Aqua,MODIS,43,6.1NRT,284.44,50.93,N
-12.32014,37.87565,302.84,1.11,1.05,2025-08-01,18,Aqua,MODIS,52,6.1NRT,290.04,6.41,N
-10.31066,26.60357,300.53,4.08,1.87,2025-08-01,18,Aqua,MODIS,29,6.1NRT,284.77,49.87,N
-13.66136,39.35995,306.17,1.4,1.17,2025-08-01,18,Aqua,MODIS,67,6.1NRT,288.65,14.3,N
-11.93915,37.725,312.54,1.09,1.04,2025-08-01,18,Aqua,MODIS,85,6.1NRT,291.13,12.9,N
-11.76383,37.72386,302.47,1.08,1.04,2025-08-01,18,Aqua,MODIS,49,6.1NRT,289.02,6.45,N
-7.57488,26.5831,302.18,4.64,1.97,2025-08-01,18,Aqua,MODIS,47,6.1NRT,286.99,55.12,N
-11.4079,38.00927,300.68,1.1,1.05,2025-08-01,18,Aqua,MODIS,32,6.1NRT,289.08,5.29,N
-9.34494,28.958,300.91,2.78,1.59,2025-08-01,18,Aqua,MODIS,35,6.1NRT,287.46,27.74,N
-9.21651,34.8494,316.05,1.09,1.04,2025-08-01,18,Aqua,MODIS,92,6.1NRT,281.06,20.24,N
-9.21503,34.83978,358.3,1.09,1.04,2025-08-01,18,Aqua,MODIS,100,6.1NRT,285.9,97,N
-7.46,26.43822,301.75,4.79,2,2025-08-01,18,Aqua,MODIS,44,6.1NRT,288.49,58.45,N
